"UPC","UNITS","DOLLARS","iri_key","week","package","flavorscent","typeofgrain","pr","f","d","brand","vol_eq","price","price_pr","j"
"00-01-16000-27503",73,283.97,"688984",1498,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","A+","2","GENERAL MILLS REESES PUFFS",0.8125,3.89,0,0
"00-01-16000-27503",16,69.35,"1104265",1489,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","A","0","GENERAL MILLS REESES PUFFS",0.8125,4.334375,0,0
"00-01-16000-27503",2,9.38,"240255",1522,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,4.69,0,0
"00-01-16000-27503",54,160.87,"274569",1527,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","A+","2","GENERAL MILLS REESES PUFFS",0.8125,2.97907407407407,2.97907407407407,0
"00-01-16000-27503",22,36.74,"688612",1511,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","A","0","GENERAL MILLS REESES PUFFS",0.8125,1.67,1.67,0
"00-01-16000-27503",5,24.95,"219851",1510,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,4.99,0,0
"00-01-16000-27503",14,43.96,"264807",1502,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.14,0,0
"00-01-16000-27503",13,55.77,"288066",1524,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,4.29,0,0
"00-01-16000-27503",4,14.76,"292593",1528,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.69,0,0
"00-01-16000-27503",10,39.9,"689938",1524,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.99,0,0
"00-01-16000-27503",11,37.49,"1131906",1479,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.40818181818182,3.40818181818182,0
"00-01-16000-27503",6,23.34,"219387",1491,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.89,0,0
"00-01-16000-27503",12,45.96,"267699",1484,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.83,0,0
"00-01-16000-27503",4,19.16,"267141",1510,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,4.79,0,0
"00-01-16000-27503",1,4.19,"246084",1526,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,4.19,0,0
"00-01-16000-27503",4,18.36,"204594",1510,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,4.59,0,0
"00-01-16000-27503",9,33.31,"1083255",1510,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.70111111111111,3.70111111111111,0
"00-01-16000-27503",6,17.34,"283781",1502,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,2.89,0,0
"00-01-16000-27503",10,25.8,"646857",1498,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,2.58,0,0
"00-01-16000-27503",45,112.5,"931863",1526,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","B","0","GENERAL MILLS REESES PUFFS",0.8125,2.5,2.5,0
"00-01-16000-27503",14,41.86,"274425",1522,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","A","0","GENERAL MILLS REESES PUFFS",0.8125,2.99,0,0
"00-01-16000-27503",4,15,"655063",1485,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","A","0","GENERAL MILLS REESES PUFFS",0.8125,3.75,0,0
"00-01-16000-27503",4,18.36,"235111",1518,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,4.59,0,0
"00-01-16000-27503",8,26.24,"293829",1501,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.28,0,0
"00-01-16000-27503",11,47.19,"260160",1529,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,4.29,0,0
"00-01-16000-27503",2,7.98,"1114830",1515,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.99,0,0
"00-01-16000-27503",34,102,"264306",1488,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","NONE","1","GENERAL MILLS REESES PUFFS",0.8125,3,3,0
"00-01-16000-27503",9,25.92,"226665",1514,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,2.88,0,0
"00-01-16000-27503",17,67.83,"648606",1512,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.99,0,0
"00-01-16000-27503",24,40,"239622",1530,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","A","0","GENERAL MILLS REESES PUFFS",0.8125,1.66666666666667,1.66666666666667,0
"00-01-16000-27503",7,26.53,"1083255",1524,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","B","0","GENERAL MILLS REESES PUFFS",0.8125,3.79,0,0
"00-01-16000-27503",7,26.53,"251185",1483,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.79,0,0
"00-01-16000-27503",464,573.96,"1130152",1496,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","A","0","GENERAL MILLS REESES PUFFS",0.8125,1.23698275862069,1.23698275862069,0
"00-01-16000-27503",21,42,"226623",1498,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,2,2,0
"00-01-16000-27503",17,52.73,"222320",1515,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.10176470588235,0,0
"00-01-16000-27503",24,66.45,"651747",1511,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,2.76875,2.76875,0
"00-01-16000-27503",38,76,"278609",1492,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,2,2,0
"00-01-16000-27503",12,44.28,"233779",1496,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","A","0","GENERAL MILLS REESES PUFFS",0.8125,3.69,0,0
"00-01-16000-27503",9,29.61,"1136655",1511,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.29,0,0
"00-01-16000-27503",6,18,"206587",1526,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3,0,0
"00-01-16000-27503",5,14.96,"229782",1490,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","1","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,2.992,2.992,0
"00-01-16000-27503",11,40.59,"669946",1520,"BOX","CHOC PEANUT BUTTER","WHOLE GRAIN CORN","0","NONE","0","GENERAL MILLS REESES PUFFS",0.8125,3.69,0,0
